,traveler_id,origin_nid,destin_nid,departure_time,trip_distance,traveler_status,update_time,association,next_station_id,init_boarding_time,final_alighting_time,aboard_tmp,remain_cap,order,train_location_id,deal_time,time_sim,time_card,time_diff
0,47250,33,41,26754,1419.0,4,27900,18,-111,26960.0,27900.0,False,0,10000000.0,-1,27777,0.31833333333333336,0.2841666666666667,-0.03416666666666668
1,47258,41,32,35160,1192.15625,4,36260,3,-111,35540.0,36260.0,False,0,10000000.0,-1,36144,0.30555555555555536,0.27333333333333165,-0.032222222222223706
2,47261,41,32,35491,1192.15625,3,35720,381121,3,35720.0,10000000.0,False,0,10000000.0,381121,36554,0.06361111111111128,0.29527777777777686,0.23166666666666558
3,47267,40,32,35099,1389.15625,4,36260,3,-111,35320.0,36260.0,False,0,10000000.0,-1,36132,0.3224999999999998,0.286944444444444,-0.035555555555555785
4,47270,35,38,19027,974.0625,4,19660,4,-111,19180.0,19660.0,False,0,10000000.0,-1,19591,0.17583333333333329,0.1566666666666663,-0.019166666666666998
5,47285,37,32,34184,2138.15625,4,36260,3,-111,34540.0,36260.0,False,0,10000000.0,-1,36564,0.576666666666668,0.6611111111111114,0.08444444444444343
6,47292,31,36,29461,1424.1875,4,30760,26,-111,29800.0,30760.0,False,0,10000000.0,-1,30752,0.3608333333333338,0.3586111111111112,-0.0022222222222225696
7,47296,29,31,33229,1365.09375,4,34280,1,-111,33380.0,34280.0,False,0,10000000.0,-1,34178,0.2919444444444448,0.26361111111111235,-0.028333333333332433
8,47319,29,41,39242,1058.0,4,40020,18,-111,39440.0,40020.0,False,0,10000000.0,-1,39937,0.21611111111111114,0.19305555555555465,-0.023055555555556495
9,47320,29,30,26393,1224.0,4,27320,0,-111,26580.0,27320.0,False,0,10000000.0,-1,27221,0.2574999999999994,0.22999999999999954,-0.027499999999999858
10,47340,41,32,35802,1192.15625,4,36620,3,-111,35920.0,36620.0,False,0,10000000.0,-1,36538,0.22722222222222221,0.20444444444444443,-0.022777777777777786
11,47341,41,32,35531,1192.15625,3,35720,381121,3,35720.0,10000000.0,False,0,10000000.0,381121,36514,0.05250000000000021,0.2730555555555547,0.2205555555555545
12,47344,31,32,36139,885.0625,4,36620,3,-111,36240.0,36620.0,False,0,10000000.0,-1,36542,0.13361111111111157,0.11194444444444507,-0.0216666666666665
13,47346,31,32,35525,885.0625,4,36260,3,-111,35860.0,36260.0,False,0,10000000.0,-1,36151,0.2041666666666675,0.17388888888888943,-0.03027777777777807
14,47356,41,32,35380,1192.15625,4,36260,3,-111,35540.0,36260.0,False,0,10000000.0,-1,36167,0.24444444444444535,0.21861111111111065,-0.025833333333334707
15,47362,30,32,35869,1026.15625,4,36620,3,-111,36080.0,36620.0,False,0,10000000.0,-1,36541,0.20861111111111086,0.18666666666666565,-0.02194444444444521
16,47366,29,32,34625,1650.15625,4,36260,3,-111,35060.0,36260.0,False,0,10000000.0,-1,36138,0.4541666666666675,0.42027777777777864,-0.03388888888888886
17,47374,30,32,37927,1026.15625,4,38820,3,-111,38260.0,38820.0,False,0,10000000.0,-1,38715,0.24805555555555614,0.21888888888888935,-0.029166666666666785
18,47375,30,38,38445,1270.1875,4,39420,4,-111,38620.0,39420.0,False,0,10000000.0,-1,39291,0.27083333333333215,0.23499999999999943,-0.03583333333333272
19,47376,41,32,30251,1192.15625,4,31260,3,-111,30520.0,31260.0,False,0,10000000.0,-1,31381,0.28027777777777807,0.3138888888888882,0.03361111111111015
20,47377,29,38,26766,1894.1875,4,28320,4,-111,26880.0,28320.0,False,0,10000000.0,-1,28223,0.43166666666666664,0.4047222222222224,-0.026944444444444215
21,47378,40,38,26555,1633.1875,4,27880,4,-111,26700.0,27880.0,False,0,10000000.0,-1,27781,0.36805555555555536,0.3405555555555555,-0.027499999999999858
22,47379,31,38,26904,1129.09375,4,27720,4,-111,27080.0,27720.0,False,0,10000000.0,-1,27615,0.22666666666666657,0.1974999999999998,-0.029166666666666785
23,47432,29,32,34880,1650.15625,4,36260,3,-111,35060.0,36260.0,False,0,10000000.0,-1,36148,0.38333333333333464,0.3522222222222222,-0.03111111111111242
24,47437,30,32,35407,1026.15625,4,36260,3,-111,35700.0,36260.0,False,0,10000000.0,-1,36163,0.23694444444444507,0.21000000000000085,-0.026944444444444215
25,47460,35,38,18928,974.0625,4,19660,4,-111,19180.0,19660.0,False,0,10000000.0,-1,19590,0.20333333333333314,0.18388888888888832,-0.01944444444444482
26,47465,41,32,35713,1192.15625,4,36620,3,-111,35900.0,36620.0,False,0,10000000.0,-1,36493,0.25194444444444386,0.216666666666665,-0.03527777777777885
27,47471,30,38,26514,1270.1875,4,27420,4,-111,26620.0,27420.0,False,0,10000000.0,-1,27613,0.25166666666666604,0.30527777777777754,0.0536111111111115
28,47472,30,38,27544,1270.1875,4,28480,4,-111,27680.0,28480.0,False,0,10000000.0,-1,28375,0.2600000000000007,0.2308333333333339,-0.029166666666666785
29,47476,29,30,23313,1224.0,4,24160,0,-111,23420.0,24160.0,False,0,10000000.0,-1,24379,0.23527777777777814,0.2961111111111112,0.06083333333333307
30,47487,41,30,38200,766.0,4,38720,0,-111,38460.0,38720.0,False,0,10000000.0,-1,38653,0.1444444444444457,0.12583333333333435,-0.018611111111111356
31,47493,41,31,34275,907.09375,4,34880,1,-111,34460.0,34880.0,False,0,10000000.0,-1,34798,0.1680555555555543,0.1452777777777765,-0.022777777777777786
32,47518,35,39,27039,1107.125,4,27860,5,-111,27240.0,27860.0,False,0,10000000.0,-1,27777,0.22805555555555568,0.20500000000000007,-0.023055555555555607
33,47527,30,32,35638,1026.15625,4,36260,3,-111,35740.0,36260.0,False,0,10000000.0,-1,36140,0.17277777777777814,0.13944444444444493,-0.033333333333333215
34,47541,37,29,25334,1088.0,4,26080,16,-111,25460.0,26080.0,False,0,10000000.0,-1,25877,0.20722222222222264,0.15083333333333382,-0.05638888888888882
35,47544,41,32,35425,1192.15625,4,36260,3,-111,35540.0,36260.0,False,0,10000000.0,-1,36131,0.2319444444444443,0.1961111111111098,-0.035833333333334494
36,47554,35,36,30099,1269.15625,4,32260,26,-111,31460.0,32260.0,False,0,10000000.0,-1,31253,0.6002777777777766,0.3205555555555559,-0.27972222222222065
37,47555,37,31,27698,1853.09375,4,29300,1,-111,27880.0,29300.0,False,0,10000000.0,-1,29179,0.4450000000000003,0.41138888888888836,-0.033611111111111924
38,47556,30,38,37903,1270.1875,4,39060,4,-111,38260.0,39060.0,False,0,10000000.0,-1,39338,0.3213888888888885,0.39861111111111036,0.07722222222222186
39,47558,33,38,26342,2255.1875,4,28320,4,-111,26520.0,28320.0,False,0,10000000.0,-1,28248,0.5494444444444442,0.5294444444444446,-0.019999999999999574
40,47560,37,29,24458,1088.0,4,25180,16,-111,24560.0,25180.0,False,0,10000000.0,-1,25023,0.20055555555555582,0.156944444444445,-0.04361111111111082
41,47562,40,32,29972,1389.15625,4,31260,3,-111,30320.0,31260.0,False,0,10000000.0,-1,31172,0.35777777777777864,0.3333333333333339,-0.024444444444444713
42,47563,33,31,27955,1726.09375,4,29600,1,-111,28320.0,29600.0,False,0,10000000.0,-1,29206,0.45694444444444393,0.34750000000000014,-0.10944444444444379
43,47564,33,39,25032,2388.25,4,27120,5,-111,25160.0,27120.0,False,0,10000000.0,-1,27176,0.5800000000000001,0.5955555555555554,0.015555555555555323
44,47566,29,30,32933,1224.0,4,33820,0,-111,33080.0,33820.0,False,0,10000000.0,-1,39235,0.2463888888888892,1.7505555555555556,1.5041666666666664
45,47567,31,39,26795,1262.15625,4,27720,5,-111,26940.0,27720.0,False,0,10000000.0,-1,27658,0.25694444444444464,0.2397222222222224,-0.01722222222222225
46,47574,30,39,26224,1403.25,4,27260,5,-111,26340.0,27260.0,False,0,10000000.0,-1,27264,0.28777777777777747,0.28888888888888875,0.0011111111111112848
47,47589,37,39,25087,2515.25,4,27560,5,-111,25460.0,27560.0,False,0,10000000.0,-1,27172,0.6869444444444444,0.5791666666666666,-0.10777777777777775
48,47590,41,31,33793,907.09375,4,34420,1,-111,34000.0,34420.0,False,0,10000000.0,-1,34345,0.17416666666666814,0.1533333333333342,-0.020833333333333925
49,47591,32,39,26898,977.09375,4,27720,5,-111,27220.0,27720.0,False,0,10000000.0,-1,27619,0.2283333333333335,0.200277777777778,-0.0280555555555555
50,47600,41,32,35487,1192.15625,3,35720,381121,3,35720.0,10000000.0,False,0,10000000.0,381121,36522,0.06472222222222257,0.28749999999999964,0.22277777777777708
51,47645,41,38,26845,1436.1875,4,28020,4,-111,27060.0,28020.0,False,0,10000000.0,-1,27975,0.3263888888888884,0.3138888888888882,-0.012500000000000178
52,47646,30,38,38309,1270.1875,4,39420,4,-111,38620.0,39420.0,False,0,10000000.0,-1,39353,0.3086111111111105,0.2900000000000009,-0.01861111111110958
53,47649,33,38,26308,2255.1875,4,28320,4,-111,26520.0,28320.0,False,0,10000000.0,-1,28402,0.5588888888888883,0.5816666666666661,0.022777777777777786
54,47650,41,32,28405,1192.15625,4,29440,3,-111,28720.0,29440.0,False,0,10000000.0,-1,29392,0.28749999999999964,0.2741666666666678,-0.013333333333331865
55,47651,41,38,38743,1436.1875,4,40160,4,-111,39180.0,40160.0,False,0,10000000.0,-1,39673,0.39361111111111136,0.25833333333333464,-0.13527777777777672
56,47652,32,36,29792,1139.125,4,33620,26,-111,32960.0,33620.0,False,0,10000000.0,-1,30587,1.0633333333333326,0.22083333333333321,-0.8424999999999994
57,47654,29,32,30011,1650.15625,4,31400,3,-111,30200.0,31400.0,False,0,10000000.0,-1,31305,0.38583333333333236,0.3594444444444438,-0.026388888888888573
58,47657,35,39,26627,1107.125,4,27420,5,-111,26780.0,27420.0,False,0,10000000.0,-1,27315,0.22027777777777757,0.19111111111111168,-0.029166666666665897
59,47662,37,31,33251,1853.09375,4,34880,1,-111,33460.0,34880.0,False,0,10000000.0,-1,34801,0.4524999999999988,0.43055555555555536,-0.021944444444443434
60,47670,29,30,26692,1224.0,4,27620,0,-111,26880.0,27620.0,False,0,10000000.0,-1,27527,0.2577777777777781,0.2319444444444443,-0.02583333333333382
61,47674,37,39,24704,2515.25,4,27120,5,-111,25020.0,27120.0,False,0,10000000.0,-1,27192,0.6711111111111112,0.6911111111111117,0.020000000000000462
62,47691,30,39,26700,1403.25,4,27720,5,-111,26800.0,27720.0,False,0,10000000.0,-1,27789,0.2833333333333332,0.3024999999999993,0.01916666666666611
63,47697,31,32,36004,885.0625,4,36620,3,-111,36220.0,36620.0,False,0,10000000.0,-1,36523,0.1711111111111112,0.144166666666667,-0.026944444444444215
64,47700,29,32,35027,1650.15625,3,35240,381121,3,35240.0,10000000.0,False,0,10000000.0,381121,36144,0.05916666666666792,0.31027777777777743,0.2511111111111095
65,47709,40,32,35481,1389.15625,4,36620,3,-111,35700.0,36620.0,False,0,10000000.0,-1,36492,0.3163888888888895,0.2808333333333337,-0.035555555555555785
66,47730,30,32,35601,1026.15625,4,36260,3,-111,35720.0,36260.0,False,0,10000000.0,-1,36181,0.18305555555555664,0.16111111111111143,-0.02194444444444521
67,47731,40,32,35401,1389.15625,3,35520,381121,3,35520.0,10000000.0,False,0,10000000.0,381121,36512,0.03305555555555628,0.3086111111111105,0.2755555555555542
68,47733,41,32,35731,1192.15625,4,36620,3,-111,35900.0,36620.0,False,0,10000000.0,-1,36550,0.24694444444444485,0.22750000000000092,-0.01944444444444393
69,47739,40,38,27218,1633.1875,4,28480,4,-111,27320.0,28480.0,False,0,10000000.0,-1,28387,0.3505555555555562,0.32472222222222236,-0.02583333333333382
70,47741,41,32,29715,1192.15625,4,30800,3,-111,30080.0,30800.0,False,0,10000000.0,-1,30743,0.30138888888888893,0.2855555555555558,-0.015833333333333144
71,47742,41,32,30026,1192.15625,4,30940,3,-111,30220.0,30940.0,False,0,10000000.0,-1,30843,0.2538888888888895,0.22694444444444528,-0.026944444444444215
72,47743,31,32,38652,885.0625,4,39180,3,-111,38780.0,39180.0,False,0,10000000.0,-1,39086,0.1466666666666665,0.12055555555555664,-0.026111111111109864
73,47744,29,32,30034,1650.15625,4,31400,3,-111,30200.0,31400.0,False,0,10000000.0,-1,31317,0.37944444444444336,0.35638888888888864,-0.02305555555555472
74,47746,41,32,30550,1192.15625,4,31400,3,-111,30680.0,31400.0,False,0,10000000.0,-1,31312,0.23611111111111072,0.21166666666666778,-0.024444444444442937
75,47747,29,36,27737,2189.28125,4,29700,26,-111,27940.0,29700.0,False,0,10000000.0,-1,30991,0.5452777777777778,0.903888888888889,0.3586111111111112
76,47748,31,38,39257,1129.09375,4,40160,4,-111,39520.0,40160.0,False,0,10000000.0,-1,40027,0.2508333333333326,0.21388888888888857,-0.036944444444444
77,47749,35,38,39118,974.0625,4,39800,4,-111,39300.0,39800.0,False,0,10000000.0,-1,39661,0.18944444444444386,0.15083333333333293,-0.03861111111111093
78,47751,37,40,26185,1349.0,4,27260,17,-111,26380.0,27260.0,False,0,10000000.0,-1,27082,0.2986111111111107,0.24916666666666654,-0.04944444444444418
79,47752,41,38,37401,1436.1875,3,37540,191128,4,37540.0,10000000.0,False,0,10000000.0,191128,39759,0.03861111111111093,0.6550000000000011,0.6163888888888902
80,47757,41,31,33679,907.09375,4,34280,1,-111,33840.0,34280.0,False,0,10000000.0,-1,34161,0.16694444444444478,0.1338888888888885,-0.03305555555555628
