stop_id,stop_name,trip_id,arrival_time,departure_time,stop_sequence,route_id,shape_dist_traveled
81,Botanical Garden,15351,06:00:00,06:00:20,0,upward,0.0
161,Okhla Bird Sanctuary,15351,06:03:52,06:04:12,1,upward,2003.493
162,Kalindi Kunj,15351,06:06:47,06:07:07,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15351,06:10:19,06:10:39,3,upward,5593.097
164,Okhla Vihar,15351,06:13:40,06:14:00,4,upward,7428.589
165,Jamia Millia Islamia,15351,06:16:27,06:16:47,5,upward,8372.665
166,Sukhdev Vihar,15351,06:19:20,06:19:40,6,upward,9604.107
167,Okhla NSIC,15351,06:21:58,06:22:18,7,upward,10754.323
131,Kalkaji Mandir,15351,06:24:15,06:24:35,8,upward,11547.502
182,Nehru Enclave,15351,06:26:11,06:26:31,9,upward,12378.613
183,Greater Kailash,15351,06:28:50,06:29:10,10,upward,13737.647
184,Chirag Delhi,15351,06:30:55,06:31:15,11,upward,14563.604
185,Panchsheel Park,15351,06:32:59,06:33:19,12,upward,15478.074
59,Hauz Khas,15351,06:35:48,06:36:08,13,upward,16891.973
81,Botanical Garden,15352,06:06:45,06:07:05,0,upward,0.0
161,Okhla Bird Sanctuary,15352,06:10:37,06:10:57,1,upward,2003.493
162,Kalindi Kunj,15352,06:13:32,06:13:52,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15352,06:17:04,06:17:24,3,upward,5593.097
164,Okhla Vihar,15352,06:20:25,06:20:45,4,upward,7428.589
165,Jamia Millia Islamia,15352,06:23:12,06:23:32,5,upward,8372.665
166,Sukhdev Vihar,15352,06:26:05,06:26:25,6,upward,9604.107
167,Okhla NSIC,15352,06:28:43,06:29:03,7,upward,10754.323
131,Kalkaji Mandir,15352,06:31:00,06:31:20,8,upward,11547.502
182,Nehru Enclave,15352,06:32:56,06:33:16,9,upward,12378.613
183,Greater Kailash,15352,06:35:35,06:35:55,10,upward,13737.647
184,Chirag Delhi,15352,06:37:40,06:38:00,11,upward,14563.604
185,Panchsheel Park,15352,06:39:44,06:40:04,12,upward,15478.074
59,Hauz Khas,15352,06:42:33,06:42:53,13,upward,16891.973
81,Botanical Garden,15353,06:13:30,06:13:50,0,upward,0.0
161,Okhla Bird Sanctuary,15353,06:17:22,06:17:42,1,upward,2003.493
162,Kalindi Kunj,15353,06:20:17,06:20:37,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15353,06:23:49,06:24:09,3,upward,5593.097
164,Okhla Vihar,15353,06:27:10,06:27:30,4,upward,7428.589
165,Jamia Millia Islamia,15353,06:29:57,06:30:17,5,upward,8372.665
166,Sukhdev Vihar,15353,06:32:50,06:33:10,6,upward,9604.107
167,Okhla NSIC,15353,06:35:28,06:35:48,7,upward,10754.323
131,Kalkaji Mandir,15353,06:37:45,06:38:05,8,upward,11547.502
182,Nehru Enclave,15353,06:39:41,06:40:01,9,upward,12378.613
183,Greater Kailash,15353,06:42:20,06:42:40,10,upward,13737.647
184,Chirag Delhi,15353,06:44:25,06:44:45,11,upward,14563.604
185,Panchsheel Park,15353,06:46:29,06:46:49,12,upward,15478.074
59,Hauz Khas,15353,06:49:18,06:49:38,13,upward,16891.973
81,Botanical Garden,15354,06:20:15,06:20:35,0,upward,0.0
161,Okhla Bird Sanctuary,15354,06:24:07,06:24:27,1,upward,2003.493
162,Kalindi Kunj,15354,06:27:02,06:27:22,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15354,06:30:34,06:30:54,3,upward,5593.097
164,Okhla Vihar,15354,06:33:55,06:34:15,4,upward,7428.589
165,Jamia Millia Islamia,15354,06:36:42,06:37:02,5,upward,8372.665
166,Sukhdev Vihar,15354,06:39:35,06:39:55,6,upward,9604.107
167,Okhla NSIC,15354,06:42:13,06:42:33,7,upward,10754.323
131,Kalkaji Mandir,15354,06:44:30,06:44:50,8,upward,11547.502
182,Nehru Enclave,15354,06:46:26,06:46:46,9,upward,12378.613
183,Greater Kailash,15354,06:49:05,06:49:25,10,upward,13737.647
184,Chirag Delhi,15354,06:51:10,06:51:30,11,upward,14563.604
185,Panchsheel Park,15354,06:53:14,06:53:34,12,upward,15478.074
59,Hauz Khas,15354,06:56:03,06:56:23,13,upward,16891.973
81,Botanical Garden,15355,06:27:00,06:27:20,0,upward,0.0
161,Okhla Bird Sanctuary,15355,06:30:52,06:31:12,1,upward,2003.493
162,Kalindi Kunj,15355,06:33:47,06:34:07,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15355,06:37:19,06:37:39,3,upward,5593.097
164,Okhla Vihar,15355,06:40:40,06:41:00,4,upward,7428.589
165,Jamia Millia Islamia,15355,06:43:27,06:43:47,5,upward,8372.665
166,Sukhdev Vihar,15355,06:46:20,06:46:40,6,upward,9604.107
167,Okhla NSIC,15355,06:48:58,06:49:18,7,upward,10754.323
131,Kalkaji Mandir,15355,06:51:15,06:51:35,8,upward,11547.502
182,Nehru Enclave,15355,06:53:11,06:53:31,9,upward,12378.613
183,Greater Kailash,15355,06:55:50,06:56:10,10,upward,13737.647
184,Chirag Delhi,15355,06:57:55,06:58:15,11,upward,14563.604
185,Panchsheel Park,15355,06:59:59,07:00:19,12,upward,15478.074
59,Hauz Khas,15355,07:02:48,07:03:08,13,upward,16891.973
81,Botanical Garden,15356,06:33:45,06:34:05,0,upward,0.0
161,Okhla Bird Sanctuary,15356,06:37:37,06:37:57,1,upward,2003.493
162,Kalindi Kunj,15356,06:40:32,06:40:52,2,upward,3589.032
163,Jasola Vihar Shaheen Bagh,15356,06:44:04,06:44:24,3,upward,5593.097
164,Okhla Vihar,15356,06:47:25,06:47:45,4,upward,7428.589
165,Jamia Millia Islamia,15356,06:50:12,06:50:32,5,upward,8372.665
166,Sukhdev Vihar,15356,06:53:05,06:53:25,6,upward,9604.107
167,Okhla NSIC,15356,06:55:43,06:56:03,7,upward,10754.323
131,Kalkaji Mandir,15356,06:58:00,06:58:20,8,upward,11547.502
182,Nehru Enclave,15356,06:59:56,07:00:16,9,upward,12378.613
183,Greater Kailash,15356,07:02:35,07:02:55,10,upward,13737.647
184,Chirag Delhi,15356,07:04:40,07:05:00,11,upward,14563.604
185,Panchsheel Park,15356,07:06:44,07:07:04,12,upward,15478.074
