stop_id,stop_name,stop_lat,stop_lon
Botanical Garden,Botanical Garden,28.564198,77.334656
Okhla Bird Sanctuary,Okhla Bird Sanctuary,28.552816,77.321564
Kalindi Kunj,Kalindi Kunj,28.542835,77.310173
Jasola Vihar Shaheen Bagh,Jasola Vihar Shaheen Bagh,28.546005,77.296715
Okhla Vihar,Okhla Vihar,28.561255,77.291916
Jamia Millia Islamia,Jamia Millia Islamia,28.562944,77.286209
Sukhdev Vihar,Sukhdev Vihar,28.559887,77.275116
Okhla NSIC,Okhla NSIC,28.554575,77.26487
Kalkaji Mandir,Kalkaji Mandir,28.549532,77.258789
Nehru Enclave,Nehru Enclave,28.545856,77.25116
Greater Kailash,Greater Kailash,28.541836,77.238243
Chirag Delhi,Chirag Delhi,28.541229,77.229385
Panchsheel Park,Panchsheel Park,28.542339,77.220512
Hauz Khas,Hauz Khas,28.543346,77.206673
