trip_id,time,next_time,status,location,capacity,location_id
15351,21600.0,21620.0,stop,upward-Botanical Garden,1800,0.0
15351,21620.0,21832.0,on_link,upward-Botanical Garden-upward-Okhla Bird Sanctuary,1800,-1.0
15351,21832.0,21852.0,stop,upward-Okhla Bird Sanctuary,1800,1.0
15351,21852.0,22007.0,on_link,upward-Okhla Bird Sanctuary-upward-Kalindi Kunj,1800,-1.0
15351,22007.0,22027.0,stop,upward-Kalindi Kunj,1800,2.0
15351,22027.0,22219.0,on_link,upward-Kalindi Kunj-upward-Jasola Vihar Shaheen Bagh,1800,-1.0
15351,22219.0,22239.0,stop,upward-Jasola Vihar Shaheen Bagh,1800,3.0
15351,22239.0,22420.0,on_link,upward-Jasola Vihar Shaheen Bagh-upward-Okhla Vihar,1800,-1.0
15351,22420.0,22440.0,stop,upward-Okhla Vihar,1800,4.0
15351,22440.0,22587.0,on_link,upward-Okhla Vihar-upward-Jamia Millia Islamia,1800,-1.0
15351,22587.0,22607.0,stop,upward-Jamia Millia Islamia,1800,5.0
15351,22607.0,22760.0,on_link,upward-Jamia Millia Islamia-upward-Sukhdev Vihar,1800,-1.0
15351,22760.0,22780.0,stop,upward-Sukhdev Vihar,1800,6.0
15351,22780.0,22918.0,on_link,upward-Sukhdev Vihar-upward-Okhla NSIC,1800,-1.0
15351,22918.0,22938.0,stop,upward-Okhla NSIC,1800,7.0
15351,22938.0,23055.0,on_link,upward-Okhla NSIC-upward-Kalkaji Mandir,1800,-1.0
15351,23055.0,23075.0,stop,upward-Kalkaji Mandir,1800,8.0
15351,23075.0,23171.0,on_link,upward-Kalkaji Mandir-upward-Nehru Enclave,1800,-1.0
15351,23171.0,23191.0,stop,upward-Nehru Enclave,1800,9.0
15351,23191.0,23330.0,on_link,upward-Nehru Enclave-upward-Greater Kailash,1800,-1.0
15351,23330.0,23350.0,stop,upward-Greater Kailash,1800,10.0
15351,23350.0,23455.0,on_link,upward-Greater Kailash-upward-Chirag Delhi,1800,-1.0
15351,23455.0,23475.0,stop,upward-Chirag Delhi,1800,11.0
15351,23475.0,23579.0,on_link,upward-Chirag Delhi-upward-Panchsheel Park,1800,-1.0
15351,23579.0,23599.0,stop,upward-Panchsheel Park,1800,12.0
15351,23599.0,23748.0,on_link,upward-Panchsheel Park-upward-Hauz Khas,1800,-1.0
15351,23748.0,23778.0,stop,upward-Hauz Khas,1800,13.0
15352,22005.0,22025.0,stop,upward-Botanical Garden,1800,0.0
15352,22025.0,22237.0,on_link,upward-Botanical Garden-upward-Okhla Bird Sanctuary,1800,-1.0
15352,22237.0,22257.0,stop,upward-Okhla Bird Sanctuary,1800,1.0
15352,22257.0,22412.0,on_link,upward-Okhla Bird Sanctuary-upward-Kalindi Kunj,1800,-1.0
15352,22412.0,22432.0,stop,upward-Kalindi Kunj,1800,2.0
15352,22432.0,22624.0,on_link,upward-Kalindi Kunj-upward-Jasola Vihar Shaheen Bagh,1800,-1.0
15352,22624.0,22644.0,stop,upward-Jasola Vihar Shaheen Bagh,1800,3.0
15352,22644.0,22825.0,on_link,upward-Jasola Vihar Shaheen Bagh-upward-Okhla Vihar,1800,-1.0
15352,22825.0,22845.0,stop,upward-Okhla Vihar,1800,4.0
15352,22845.0,22992.0,on_link,upward-Okhla Vihar-upward-Jamia Millia Islamia,1800,-1.0
15352,22992.0,23012.0,stop,upward-Jamia Millia Islamia,1800,5.0
15352,23012.0,23165.0,on_link,upward-Jamia Millia Islamia-upward-Sukhdev Vihar,1800,-1.0
15352,23165.0,23185.0,stop,upward-Sukhdev Vihar,1800,6.0
15352,23185.0,23323.0,on_link,upward-Sukhdev Vihar-upward-Okhla NSIC,1800,-1.0
15352,23323.0,23343.0,stop,upward-Okhla NSIC,1800,7.0
15352,23343.0,23460.0,on_link,upward-Okhla NSIC-upward-Kalkaji Mandir,1800,-1.0
15352,23460.0,23480.0,stop,upward-Kalkaji Mandir,1800,8.0
15352,23480.0,23576.0,on_link,upward-Kalkaji Mandir-upward-Nehru Enclave,1800,-1.0
15352,23576.0,23596.0,stop,upward-Nehru Enclave,1800,9.0
15352,23596.0,23735.0,on_link,upward-Nehru Enclave-upward-Greater Kailash,1800,-1.0
15352,23735.0,23755.0,stop,upward-Greater Kailash,1800,10.0
15352,23755.0,23860.0,on_link,upward-Greater Kailash-upward-Chirag Delhi,1800,-1.0
15352,23860.0,23880.0,stop,upward-Chirag Delhi,1800,11.0
15352,23880.0,23984.0,on_link,upward-Chirag Delhi-upward-Panchsheel Park,1800,-1.0
15352,23984.0,24004.0,stop,upward-Panchsheel Park,1800,12.0
15352,24004.0,24153.0,on_link,upward-Panchsheel Park-upward-Hauz Khas,1800,-1.0
15352,24153.0,24183.0,stop,upward-Hauz Khas,1800,13.0
15353,22410.0,22430.0,stop,upward-Botanical Garden,1800,0.0
15353,22430.0,22642.0,on_link,upward-Botanical Garden-upward-Okhla Bird Sanctuary,1800,-1.0
15353,22642.0,22662.0,stop,upward-Okhla Bird Sanctuary,1800,1.0
15353,22662.0,22817.0,on_link,upward-Okhla Bird Sanctuary-upward-Kalindi Kunj,1800,-1.0
15353,22817.0,22837.0,stop,upward-Kalindi Kunj,1800,2.0
15353,22837.0,23029.0,on_link,upward-Kalindi Kunj-upward-Jasola Vihar Shaheen Bagh,1800,-1.0
15353,23029.0,23049.0,stop,upward-Jasola Vihar Shaheen Bagh,1800,3.0
15353,23049.0,23230.0,on_link,upward-Jasola Vihar Shaheen Bagh-upward-Okhla Vihar,1800,-1.0
15353,23230.0,23250.0,stop,upward-Okhla Vihar,1800,4.0
15353,23250.0,23397.0,on_link,upward-Okhla Vihar-upward-Jamia Millia Islamia,1800,-1.0
15353,23397.0,23417.0,stop,upward-Jamia Millia Islamia,1800,5.0
15353,23417.0,23570.0,on_link,upward-Jamia Millia Islamia-upward-Sukhdev Vihar,1800,-1.0
15353,23570.0,23590.0,stop,upward-Sukhdev Vihar,1800,6.0
15353,23590.0,23728.0,on_link,upward-Sukhdev Vihar-upward-Okhla NSIC,1800,-1.0
15353,23728.0,23748.0,stop,upward-Okhla NSIC,1800,7.0
15353,23748.0,23865.0,on_link,upward-Okhla NSIC-upward-Kalkaji Mandir,1800,-1.0
15353,23865.0,23885.0,stop,upward-Kalkaji Mandir,1800,8.0
15353,23885.0,23981.0,on_link,upward-Kalkaji Mandir-upward-Nehru Enclave,1800,-1.0
15353,23981.0,24001.0,stop,upward-Nehru Enclave,1800,9.0
15353,24001.0,24140.0,on_link,upward-Nehru Enclave-upward-Greater Kailash,1800,-1.0
15353,24140.0,24160.0,stop,upward-Greater Kailash,1800,10.0
15353,24160.0,24265.0,on_link,upward-Greater Kailash-upward-Chirag Delhi,1800,-1.0
15353,24265.0,24285.0,stop,upward-Chirag Delhi,1800,11.0
15353,24285.0,24389.0,on_link,upward-Chirag Delhi-upward-Panchsheel Park,1800,-1.0
15353,24389.0,24409.0,stop,upward-Panchsheel Park,1800,12.0
15353,24409.0,24558.0,on_link,upward-Panchsheel Park-upward-Hauz Khas,1800,-1.0
15353,24558.0,24588.0,stop,upward-Hauz Khas,1800,13.0
15354,22815.0,22835.0,stop,upward-Botanical Garden,1800,0.0
15354,22835.0,23047.0,on_link,upward-Botanical Garden-upward-Okhla Bird Sanctuary,1800,-1.0
15354,23047.0,23067.0,stop,upward-Okhla Bird Sanctuary,1800,1.0
15354,23067.0,23222.0,on_link,upward-Okhla Bird Sanctuary-upward-Kalindi Kunj,1800,-1.0
15354,23222.0,23242.0,stop,upward-Kalindi Kunj,1800,2.0
15354,23242.0,23434.0,on_link,upward-Kalindi Kunj-upward-Jasola Vihar Shaheen Bagh,1800,-1.0
15354,23434.0,23454.0,stop,upward-Jasola Vihar Shaheen Bagh,1800,3.0
