route_stop_id,next_route_stop_id,start_nid,end_nid,initial_weight,geometry
upward-Botanical Garden,upward-Okhla Bird Sanctuary,0,1,242.0,"LINESTRING (77.334656 28.564198, 77.321564 28.552816)"
upward-Okhla Bird Sanctuary,upward-Kalindi Kunj,1,2,185.0,"LINESTRING (77.321564 28.552816, 77.310173 28.542835)"
upward-Kalindi Kunj,upward-Jasola Vihar Shaheen Bagh,2,3,222.0,"LINESTRING (77.310173 28.542835, 77.296715 28.546005)"
upward-Jasola Vihar Shaheen Bagh,upward-Okhla Vihar,3,4,211.0,"LINESTRING (77.296715 28.546005, 77.291916 28.561255)"
upward-Okhla Vihar,upward-Jamia Millia Islamia,4,5,177.0,"LINESTRING (77.291916 28.561255, 77.286209 28.562944)"
upward-Jamia Millia Islamia,upward-Sukhdev Vihar,5,6,183.0,"LINESTRING (77.286209 28.562944, 77.275116 28.559887)"
upward-Sukhdev Vihar,upward-Okhla NSIC,6,7,168.0,"LINESTRING (77.275116 28.559887, 77.26487 28.554575)"
upward-Okhla NSIC,upward-Kalkaji Mandir,7,8,147.0,"LINESTRING (77.26487 28.554575, 77.258789 28.549532)"
upward-Kalkaji Mandir,upward-Nehru Enclave,8,9,126.0,"LINESTRING (77.258789 28.549532, 77.25116 28.545856)"
upward-Nehru Enclave,upward-Greater Kailash,9,10,169.0,"LINESTRING (77.25116 28.545856, 77.238243 28.541836)"
upward-Greater Kailash,upward-Chirag Delhi,10,11,135.0,"LINESTRING (77.238243 28.541836, 77.229385 28.541229)"
upward-Chirag Delhi,upward-Panchsheel Park,11,12,134.0,"LINESTRING (77.229385 28.541229, 77.220512 28.542339)"
upward-Panchsheel Park,upward-Hauz Khas,12,13,179.0,"LINESTRING (77.220512 28.542339, 77.206673 28.543346)"
upward-Botanical Garden,all-Botanical Garden,0,14,300.0,"LINESTRING (77.334656 28.564198, 77.334578665344 28.564198)"
all-Botanical Garden,upward-Botanical Garden,14,0,300.0,"LINESTRING (77.334578665344 28.564198, 77.334656 28.564198)"
upward-Chirag Delhi,all-Chirag Delhi,11,15,300.0,"LINESTRING (77.229385 28.541229, 77.229307770615 28.541229)"
all-Chirag Delhi,upward-Chirag Delhi,15,11,300.0,"LINESTRING (77.229307770615 28.541229, 77.229385 28.541229)"
upward-Greater Kailash,all-Greater Kailash,10,16,300.0,"LINESTRING (77.238243 28.541836, 77.23816576175699 28.541836)"
all-Greater Kailash,upward-Greater Kailash,16,10,300.0,"LINESTRING (77.23816576175699 28.541836, 77.238243 28.541836)"
upward-Hauz Khas,all-Hauz Khas,13,17,300.0,"LINESTRING (77.206673 28.543346, 77.206595793327 28.543346)"
all-Hauz Khas,upward-Hauz Khas,17,13,300.0,"LINESTRING (77.206595793327 28.543346, 77.206673 28.543346)"
upward-Jamia Millia Islamia,all-Jamia Millia Islamia,5,18,300.0,"LINESTRING (77.286209 28.562944, 77.286131713791 28.562944)"
all-Jamia Millia Islamia,upward-Jamia Millia Islamia,18,5,300.0,"LINESTRING (77.286131713791 28.562944, 77.286209 28.562944)"
upward-Jasola Vihar Shaheen Bagh,all-Jasola Vihar Shaheen Bagh,3,19,300.0,"LINESTRING (77.296715 28.546005, 77.296637703285 28.546005)"
all-Jasola Vihar Shaheen Bagh,upward-Jasola Vihar Shaheen Bagh,19,3,300.0,"LINESTRING (77.296637703285 28.546005, 77.296715 28.546005)"
upward-Kalindi Kunj,all-Kalindi Kunj,2,20,300.0,"LINESTRING (77.310173 28.542835, 77.31009568982701 28.542835)"
all-Kalindi Kunj,upward-Kalindi Kunj,20,2,300.0,"LINESTRING (77.31009568982701 28.542835, 77.310173 28.542835)"
upward-Kalkaji Mandir,all-Kalkaji Mandir,8,21,300.0,"LINESTRING (77.258789 28.549532, 77.25871174121099 28.549532)"
all-Kalkaji Mandir,upward-Kalkaji Mandir,21,8,300.0,"LINESTRING (77.25871174121099 28.549532, 77.258789 28.549532)"
upward-Nehru Enclave,all-Nehru Enclave,9,22,300.0,"LINESTRING (77.25116 28.545856, 77.25108274883999 28.545856)"
all-Nehru Enclave,upward-Nehru Enclave,22,9,300.0,"LINESTRING (77.25108274883999 28.545856, 77.25116 28.545856)"
upward-Okhla Bird Sanctuary,all-Okhla Bird Sanctuary,1,23,300.0,"LINESTRING (77.321564 28.552816, 77.32148667843599 28.552816)"
all-Okhla Bird Sanctuary,upward-Okhla Bird Sanctuary,23,1,300.0,"LINESTRING (77.32148667843599 28.552816, 77.321564 28.552816)"
upward-Okhla NSIC,all-Okhla NSIC,7,24,300.0,"LINESTRING (77.26487 28.554575, 77.26479273513 28.554575)"
all-Okhla NSIC,upward-Okhla NSIC,24,7,300.0,"LINESTRING (77.26479273513 28.554575, 77.26487 28.554575)"
upward-Okhla Vihar,all-Okhla Vihar,4,25,300.0,"LINESTRING (77.291916 28.561255, 77.291838708084 28.561255)"
all-Okhla Vihar,upward-Okhla Vihar,25,4,300.0,"LINESTRING (77.291838708084 28.561255, 77.291916 28.561255)"
upward-Panchsheel Park,all-Panchsheel Park,12,26,300.0,"LINESTRING (77.220512 28.542339, 77.220434779488 28.542339)"
all-Panchsheel Park,upward-Panchsheel Park,26,12,300.0,"LINESTRING (77.220434779488 28.542339, 77.220512 28.542339)"
upward-Sukhdev Vihar,all-Sukhdev Vihar,6,27,300.0,"LINESTRING (77.275116 28.559887, 77.275038724884 28.559887)"
all-Sukhdev Vihar,upward-Sukhdev Vihar,27,6,300.0,"LINESTRING (77.275038724884 28.559887, 77.275116 28.559887)"
